head,type,tail,meta
gothic rock,subclass of,alternative rock,"{'spans': [[235, 285]], 'source': 'b794216dd33a4e5990524bf1c986a2e8'}"
0,has part,0,"{'spans': [[282, 332], [147, 197]], 'source': 'b794216dd33a4e5990524bf1c986a2e8'}"
0 if δj > 0,point in time,0,"{'spans': [[282, 332]], 'source': 'b794216dd33a4e5990524bf1c986a2e8'}"
string utility,subclass of,string utility,"{'spans': [[329, 379]], 'source': 'b794216dd33a4e5990524bf1c986a2e8'}"
string utility,has part,string utility,"{'spans': [[329, 379]], 'source': 'b794216dd33a4e5990524bf1c986a2e8'}"
string utility,part of,string utility,"{'spans': [[329, 379]], 'source': 'b794216dd33a4e5990524bf1c986a2e8'}"
Normalization of Metrics,subclass of,normalized,"{'spans': [[376, 426]], 'source': 'b794216dd33a4e5990524bf1c986a2e8'}"
Normalization of EE-D,instance of,normalized,"{'spans': [[376, 426]], 'source': 'b794216dd33a4e5990524bf1c986a2e8'}"
Normalization of EE-D,instance of,disparity measure,"{'spans': [[376, 426]], 'source': 'b794216dd33a4e5990524bf1c986a2e8'}"
normalized,subclass of,upper and lower bound,"{'spans': [[423, 473]], 'source': 'b794216dd33a4e5990524bf1c986a2e8'}"
normalized,instance of,upper and lower bound,"{'spans': [[423, 473]], 'source': 'b794216dd33a4e5990524bf1c986a2e8'}"
normalized,part of,upper and lower bound,"{'spans': [[423, 473]], 'source': 'b794216dd33a4e5990524bf1c986a2e8'}"
¯ϵ,instance of,exposure vector,"{'spans': [[0, 50]], 'source': '12f7ea6ca46f495bb0d2784887600ee1'}"
¯ϵ,subclass of,exposure vector,"{'spans': [[0, 50]], 'source': '12f7ea6ca46f495bb0d2784887600ee1'}"
exposure,subclass of,exposure,"{'spans': [[48, 98]], 'source': '12f7ea6ca46f495bb0d2784887600ee1'}"
Exposure,subclass of,exposure,"{'spans': [[48, 98]], 'source': '12f7ea6ca46f495bb0d2784887600ee1'}"
exposure,facet of,exposure,"{'spans': [[48, 98]], 'source': '12f7ea6ca46f495bb0d2784887600ee1'}"
optimal exposure,subclass of,exposure,"{'spans': [[96, 146]], 'source': '12f7ea6ca46f495bb0d2784887600ee1'}"
optimal exposure,facet of,exposure,"{'spans': [[96, 146]], 'source': '12f7ea6ca46f495bb0d2784887600ee1'}"
optimal exposure,instance of,exposure,"{'spans': [[96, 146]], 'source': '12f7ea6ca46f495bb0d2784887600ee1'}"
UM,instance of,relevance-independent browsing models,"{'spans': [[144, 194]], 'source': '12f7ea6ca46f495bb0d2784887600ee1'}"
UM,instance of,relevance-independent browsing model,"{'spans': [[144, 194]], 'source': '12f7ea6ca46f495bb0d2784887600ee1'}"
UM,instance of,relevance-independent browsing,"{'spans': [[144, 194]], 'source': '12f7ea6ca46f495bb0d2784887600ee1'}"
exposure norms,facet of,exposure,"{'spans': [[192, 242]], 'source': '12f7ea6ca46f495bb0d2784887600ee1'}"
exposure norm,facet of,exposure,"{'spans': [[192, 242]], 'source': '12f7ea6ca46f495bb0d2784887600ee1'}"
πσ,instance of,exposure norm,"{'spans': [[192, 242]], 'source': '12f7ea6ca46f495bb0d2784887600ee1'}"
2,has part,2,"{'spans': [[240, 290]], 'source': '12f7ea6ca46f495bb0d2784887600ee1'}"
Eσ∼π,has part,Eσ∼π,"{'spans': [[288, 338]], 'source': '12f7ea6ca46f495bb0d2784887600ee1'}"
Eσ∼π,part of,Eσ∼π,"{'spans': [[288, 338]], 'source': '12f7ea6ca46f495bb0d2784887600ee1'}"
top-k,instance of,consumption,"{'spans': [[336, 386]], 'source': '12f7ea6ca46f495bb0d2784887600ee1'}"
top-k,subclass of,consumption,"{'spans': [[336, 386]], 'source': '12f7ea6ca46f495bb0d2784887600ee1'}"
top-k consumption,facet of,machine user browsing,"{'spans': [[336, 386]], 'source': '12f7ea6ca46f495bb0d2784887600ee1'}"
normalized,subclass of,upper bound,"{'spans': [[384, 434]], 'source': '12f7ea6ca46f495bb0d2784887600ee1'}"
normalized EE-D,subclass of,upper bound,"{'spans': [[384, 434]], 'source': '12f7ea6ca46f495bb0d2784887600ee1'}"
normalized EE-D,instance of,upper bound,"{'spans': [[384, 434]], 'source': '12f7ea6ca46f495bb0d2784887600ee1'}"
Normalization of EE-R,subclass of,Normalization of EE-R,"{'spans': [[432, 482]], 'source': '12f7ea6ca46f495bb0d2784887600ee1'}"
Normalization of EE-R,facet of,EE-R,"{'spans': [[432, 482]], 'source': '12f7ea6ca46f495bb0d2784887600ee1'}"
Normalization of EE-R,part of,EE-Dq,"{'spans': [[432, 482]], 'source': '12f7ea6ca46f495bb0d2784887600ee1'}"
EE-R,instance of,ranking quality measure,"{'spans': [[480, 530], [0, 50]], 'source': '12f7ea6ca46f495bb0d2784887600ee1'}"
normalized,facet of,ranking quality measure,"{'spans': [[480, 530]], 'source': '12f7ea6ca46f495bb0d2784887600ee1'}"
EE-R,instance of,ranking quality,"{'spans': [[480, 530]], 'source': '12f7ea6ca46f495bb0d2784887600ee1'}"
lower bound,opposite of,upper,"{'spans': [[0, 50]], 'source': 'deadd000ebad4541a701eb782f1db1d0'}"
normalized,facet of,Theorem 2,"{'spans': [[0, 50]], 'source': 'deadd000ebad4541a701eb782f1db1d0'}"
exposure vector,subclass of,permutation,"{'spans': [[47, 97]], 'source': 'deadd000ebad4541a701eb782f1db1d0'}"
exposure vector,subclass of,deterministic ranking σ−,"{'spans': [[47, 97]], 'source': 'deadd000ebad4541a701eb782f1db1d0'}"
indices,subclass of,indices,"{'spans': [[94, 144]], 'source': 'deadd000ebad4541a701eb782f1db1d0'}"
equation 8,instance of,equation,"{'spans': [[94, 144]], 'source': 'deadd000ebad4541a701eb782f1db1d0'}"
C+,instance of,indices,"{'spans': [[94, 144]], 'source': 'deadd000ebad4541a701eb782f1db1d0'}"
ϟ�,part of,cid:88,"{'spans': [[141, 191]], 'source': 'deadd000ebad4541a701eb782f1db1d0'}"
ϵ,followed by,ϵ∗,"{'spans': [[235, 285]], 'source': 'deadd000ebad4541a701eb782f1db1d0'}"
ϵ∗,follows,ϵ,"{'spans': [[235, 285]], 'source': 'deadd000ebad4541a701eb782f1db1d0'}"
ϵ,has part,ϵ,"{'spans': [[235, 285], [423, 473]], 'source': 'deadd000ebad4541a701eb782f1db1d0'}"
⟨ϵ,has part,⟩,"{'spans': [[282, 332]], 'source': 'deadd000ebad4541a701eb782f1db1d0'}"
⟨ϵ,has part,ϵ∗⟩,"{'spans': [[282, 332]], 'source': 'deadd000ebad4541a701eb782f1db1d0'}"
⟨ϵ,has part,⟨ϩ,"{'spans': [[282, 332]], 'source': 'deadd000ebad4541a701eb782f1db1d0'}"
optimistically,subclass of,rankings,"{'spans': [[329, 379]], 'source': 'deadd000ebad4541a701eb782f1db1d0'}"
optimistically,facet of,cid,"{'spans': [[329, 379]], 'source': 'deadd000ebad4541a701eb782f1db1d0'}"
σ,facet of,cid,"{'spans': [[329, 379]], 'source': 'deadd000ebad4541a701eb782f1db1d0'}"
optimal rankings,facet of,exposure vector,"{'spans': [[376, 426]], 'source': 'deadd000ebad4541a701eb782f1db1d0'}"
optimal rankings,subclass of,exposure vector,"{'spans': [[376, 426]], 'source': 'deadd000ebad4541a701eb782f1db1d0'}"
optimal rankings,has part,exposure vector,"{'spans': [[376, 426]], 'source': 'deadd000ebad4541a701eb782f1db1d0'}"
equal exposure principle,main subject,equal exposure,"{'spans': [[470, 520]], 'source': 'deadd000ebad4541a701eb782f1db1d0'}"
equal exposure principle,facet of,equal exposure,"{'spans': [[470, 520]], 'source': 'deadd000ebad4541a701eb782f1db1d0'}"
cid,instance of,principle,"{'spans': [[517, 567]], 'source': 'deadd000ebad4541a701eb782f1db1d0'}"
C+,instance of,cid,"{'spans': [[517, 567]], 'source': 'deadd000ebad4541a701eb782f1db1d0'}"
optimal,instance of,optimal,"{'spans': [[611, 661], [0, 50]], 'source': 'deadd000ebad4541a701eb782f1db1d0'}"
cid,uses,cid,"{'spans': [[658, 708]], 'source': 'deadd000ebad4541a701eb782f1db1d0'}"
optimal,subclass of,optimal,"{'spans': [[0, 50]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
optimal,said to be the same as,optimal,"{'spans': [[0, 50]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
top-ranking,facet of,machine user browsing,"{'spans': [[92, 142]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
top-ranking,subclass of,machine user browsing model,"{'spans': [[92, 142]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
top-ranking,facet of,machine user browsing model,"{'spans': [[92, 142]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
consumption,has part,attention,"{'spans': [[138, 188]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
attention,facet of,consumption,"{'spans': [[138, 188]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
consumption,has effect,attention,"{'spans': [[138, 188]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
UM,instance of,upper bound,"{'spans': [[184, 234]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
upper bound,subclass of,upper bound,"{'spans': [[184, 234]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
(k−m)2 n−m,follows,(k−m)2 n−m,"{'spans': [[184, 234]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
(k−m)2 n−m,followed by,(k−m)2 n−m,"{'spans': [[184, 234]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
k,has part,m,"{'spans': [[230, 280]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
EE-R,part of,equation 6,"{'spans': [[230, 280]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
m,has part,k,"{'spans': [[230, 280]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
(opinutably)repulsively,has part,(opinutably)repulsively,"{'spans': [[276, 326]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
(opinutably)repulsively,opposite of,(opinutably)repulsively,"{'spans': [[276, 326]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
k,has part,k,"{'spans': [[322, 372]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
k,part of,k,"{'spans': [[322, 372]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
m > k,has part,k,"{'spans': [[322, 372]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
k,part of,m > k,"{'spans': [[322, 372]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
EE-Rq,subclass of,normalized,"{'spans': [[368, 418]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
EE-R,subclass of,normalized,"{'spans': [[368, 418]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
EE-Rq,instance of,normalized,"{'spans': [[368, 418]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
cid:40,instance of,cid,"{'spans': [[414, 464]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
k2 m,has part,k,"{'spans': [[460, 510]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
k2 m,has part,m,"{'spans': [[460, 510]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
k,part of,k2 m,"{'spans': [[460, 510]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
empirically obtained utilities,subclass of,utility,"{'spans': [[506, 556]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
empirically obtained utilities,facet of,empirically,"{'spans': [[506, 556]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
empirically obtained utilities,subclass of,empirically obtained utilities,"{'spans': [[506, 556]], 'source': '6475fab1b540453ab6dc52d5fddc5e73'}"
ui,instance of,string utility,"{'spans': [[0, 50]], 'source': '9e44f185a0bb4b11ac99e47160f2f20f'}"
"Let u(u(y,G(ϕp(x,σi)))",instance of,string utility,"{'spans': [[0, 50]], 'source': '9e44f185a0bb4b11ac99e47160f2f20f'}"
"Let u(u(y,G(ϕp(x, σi)))",instance of,string utility,"{'spans': [[0, 50]], 'source': '9e44f185a0bb4b11ac99e47160f2f20f'}"
sto,uses,permutation,"{'spans': [[50, 100]], 'source': '9e44f185a0bb4b11ac99e47160f2f20f'}"
sto,subclass of,permutation,"{'spans': [[50, 100]], 'source': '9e44f185a0bb4b11ac99e47160f2f20f'}"
i’th string utility,instance of,string utility,"{'spans': [[50, 100]], 'source': '9e44f185a0bb4b11ac99e47160f2f20f'}"
optimal permutation,subclass of,policy,"{'spans': [[100, 150]], 'source': '9e44f185a0bb4b11ac99e47160f2f20f'}"
stochastic oracle retriever,subclass of,optimal permutation,"{'spans': [[100, 150]], 'source': '9e44f185a0bb4b11ac99e47160f2f20f'}"
optimal permutation,instance of,policy,"{'spans': [[100, 150]], 'source': '9e44f185a0bb4b11ac99e47160f2f20f'}"
umax,instance of,string utility,"{'spans': [[150, 200]], 'source': '9e44f185a0bb4b11ac99e47160f2f20f'}"
umax,subclass of,string utility,"{'spans': [[150, 200]], 'source': '9e44f185a0bb4b11ac99e47160f2f20f'}"
i’th string utility,subclass of,string utility,"{'spans': [[150, 200]], 'source': '9e44f185a0bb4b11ac99e47160f2f20f'}"
α,has part,α,"{'spans': [[200, 250]], 'source': '9e44f185a0bb4b11ac99e47160f2f20f'}"
α,part of,α,"{'spans': [[200, 250]], 'source': '9e44f185a0bb4b11ac99e47160f2f20f'}"
(8)Pittsburgh Panthers,league,NFL,"{'spans': [[300, 350]], 'source': '9e44f185a0bb4b11ac99e47160f2f20f'}"
(8)Pittsburgh,located in the administrative territorial entity,(8)Pittsburgh,"{'spans': [[300, 350]], 'source': '9e44f185a0bb4b11ac99e47160f2f20f'}"
(8)Pittsburgh,shares border with,(8)Pittsburgh,"{'spans': [[300, 350]], 'source': '9e44f185a0bb4b11ac99e47160f2f20f'}"
umax,instance of,max-max,"{'spans': [[350, 400]], 'source': '9e44f185a0bb4b11ac99e47160f2f20f'}"
umax,has part,umax,"{'spans': [[350, 400]], 'source': '9e44f185a0bb4b11ac99e47160f2f20f'}"
umax,part of,umax,"{'spans': [[350, 400]], 'source': '9e44f185a0bb4b11ac99e47160f2f20f'}"
EU,part of,EU,"{'spans': [[400, 450]], 'source': '9e44f185a0bb4b11ac99e47160f2f20f'}"
EU,different from,EU,"{'spans': [[400, 450], [215, 265]], 'source': '9e44f185a0bb4b11ac99e47160f2f20f'}"
Normalization of EU,country,EU,"{'spans': [[450, 500]], 'source': '9e44f185a0bb4b11ac99e47160f2f20f'}"
ui,has part,ui,"{'spans': [[450, 500]], 'source': '9e44f185a0bb4b11ac99e47160f2f20f'}"
Normalization of EU,facet of,EU,"{'spans': [[450, 500]], 'source': '9e44f185a0bb4b11ac99e47160f2f20f'}"
optimal utility,subclass of,utility values,"{'spans': [[500, 550]], 'source': '9e44f185a0bb4b11ac99e47160f2f20f'}"
optimal utility,subclass of,maximum utility,"{'spans': [[500, 550]], 'source': '9e44f185a0bb4b11ac99e47160f2f20f'}"
maximum utility,subclass of,optimal utility,"{'spans': [[500, 550]], 'source': '9e44f185a0bb4b11ac99e47160f2f20f'}"
MAE,different from,Accuracy,"{'spans': [[0, 50]], 'source': '3bbc9f3dde8140ea9147025d32f42106'}"
MAE,opposite of,Accuracy,"{'spans': [[0, 50]], 'source': '3bbc9f3dde8140ea9147025d32f42106'}"
MAE,has part,Accuracy,"{'spans': [[0, 50]], 'source': '3bbc9f3dde8140ea9147025d32f42106'}"
normalized metric,subclass of,normalization operation,"{'spans': [[49, 99]], 'source': '3bbc9f3dde8140ea9147025d32f42106'}"
normalization operation,facet of,normalized metric,"{'spans': [[49, 99]], 'source': '3bbc9f3dde8140ea9147025d32f42106'}"
EE-D,subclass of,normalization operation,"{'spans': [[49, 99]], 'source': '3bbc9f3dde8140ea9147025d32f42106'}"
EE-R,opposite of,EE-D,"{'spans': [[196, 246]], 'source': '3bbc9f3dde8140ea9147025d32f42106'}"
EE-D,opposite of,EE-R,"{'spans': [[196, 246]], 'source': '3bbc9f3dde8140ea9147025d32f42106'}"
EE-R,follows,EE-D,"{'spans': [[196, 246]], 'source': '3bbc9f3dde8140ea9147025d32f42106'}"
LaMP-1,subclass of,Contriever,"{'spans': [[245, 295], [392, 442]], 'source': '3bbc9f3dde8140ea9147025d32f42106'}"
LaMP-1 Contriever,part of,NFV,"{'spans': [[245, 295]], 'source': '3bbc9f3dde8140ea9147025d32f42106'}"
NFV,has part,LaMP-1 Contriever,"{'spans': [[245, 295]], 'source': '3bbc9f3dde8140ea9147025d32f42106'}"
6,part of,EE-R,"{'spans': [[294, 344]], 'source': '3bbc9f3dde8140ea9147025d32f42106'}"
6,subclass of,EE-R,"{'spans': [[294, 344]], 'source': '3bbc9f3dde8140ea9147025d32f42106'}"
Ensiputarily,part of,EE-R,"{'spans': [[294, 344]], 'source': '3bbc9f3dde8140ea9147025d32f42106'}"
LaMP-4,subclass of,Contriever,"{'spans': [[343, 393], [441, 491]], 'source': '3bbc9f3dde8140ea9147025d32f42106'}"
inflanT,subclass of,Contriever,"{'spans': [[343, 393]], 'source': '3bbc9f3dde8140ea9147025d32f42106'}"
LaMP-4,subclass of,Contriever+FlanT,"{'spans': [[343, 393]], 'source': '3bbc9f3dde8140ea9147025d32f42106'}"
LaMP-1,followed by,Contriever+FlanT5Base,"{'spans': [[392, 442]], 'source': '3bbc9f3dde8140ea9147025d32f42106'}"
LaMP-1,followed by,Contriever+FlanT5,"{'spans': [[392, 442]], 'source': '3bbc9f3dde8140ea9147025d32f42106'}"
LaMP-4 Contriever,followed by,FlanT5Base,"{'spans': [[441, 491]], 'source': '3bbc9f3dde8140ea9147025d32f42106'}"
FlanT5Base,follows,LaMP-4 Contriever,"{'spans': [[441, 491]], 'source': '3bbc9f3dde8140ea9147025d32f42106'}"
LaMP task 1,instance of,RAG,"{'spans': [[490, 540]], 'source': '3bbc9f3dde8140ea9147025d32f42106'}"
LaMP task 1,facet of,RAG,"{'spans': [[490, 540]], 'source': '3bbc9f3dde8140ea9147025d32f42106'}"
LaMP task 1,part of,RAG,"{'spans': [[490, 540]], 'source': '3bbc9f3dde8140ea9147025d32f42106'}"
Contriever,use,classification,"{'spans': [[539, 589]], 'source': '3bbc9f3dde8140ea9147025d32f42106'}"
Contriever,use,text generation,"{'spans': [[539, 589]], 'source': '3bbc9f3dde8140ea9147025d32f42106'}"
Flan-T5-Base,use,text generation,"{'spans': [[539, 589]], 'source': '3bbc9f3dde8140ea9147025d32f42106'}"
fairness,opposite of,ranking quality,"{'spans': [[0, 50]], 'source': '898aef7db35a4ddfadfbcc5aafb6ab88'}"
fairness,different from,ranking quality,"{'spans': [[0, 50]], 'source': '898aef7db35a4ddfadfbcc5aafb6ab88'}"
ranking quality,different from,fairness,"{'spans': [[0, 50]], 'source': '898aef7db35a4ddfadfbcc5aafb6ab88'}"
ranking quality,opposite of,fairness,"{'spans': [[0, 50]], 'source': '898aef7db35a4ddfadfbcc5aafb6ab88'}"
LaMP-1,applies to jurisdiction,EU,"{'spans': [[43, 93]], 'source': '898aef7db35a4ddfadfbcc5aafb6ab88'}"
LaMP-1,country,EU,"{'spans': [[43, 93]], 'source': '898aef7db35a4ddfadfbcc5aafb6ab88'}"
EU,has part,LaMP-1,"{'spans': [[43, 93]], 'source': '898aef7db35a4ddfadfbcc5aafb6ab88'}"
LaMP-,part of,LaMP-,"{'spans': [[86, 136]], 'source': '898aef7db35a4ddfadfbcc5aafb6ab88'}"
LaMP,has part,LaMP-,"{'spans': [[86, 136]], 'source': '898aef7db35a4ddfadfbcc5aafb6ab88'}"
LaMP-,part of,LaMP,"{'spans': [[86, 136]], 'source': '898aef7db35a4ddfadfbcc5aafb6ab88'}"
LaMP-1,followed by,LaMP-4,"{'spans': [[129, 179]], 'source': '898aef7db35a4ddfadfbcc5aafb6ab88'}"
LaMP-4,based on,LaMP-1,"{'spans': [[129, 179]], 'source': '898aef7db35a4ddfadfbcc5aafb6ab88'}"
LaMP-1,part of,LaMP-4,"{'spans': [[129, 179]], 'source': '898aef7db35a4ddfadfbcc5aafb6ab88'}"
Figure 6b,part of,Figure 6b,"{'spans': [[172, 222]], 'source': '898aef7db35a4ddfadfbcc5aafb6ab88'}"
Figure 6b,instance of,figure,"{'spans': [[172, 222]], 'source': '898aef7db35a4ddfadfbcc5aafb6ab88'}"
Figure 6b,part of,Figure 6,"{'spans': [[172, 222]], 'source': '898aef7db35a4ddfadfbcc5aafb6ab88'}"
EU,different from,EU when α=4 and when α=8,"{'spans': [[215, 265]], 'source': '898aef7db35a4ddfadfbcc5aafb6ab88'}"
EU when α=4 and when α=8,different from,EU,"{'spans': [[215, 265]], 'source': '898aef7db35a4ddfadfbcc5aafb6ab88'}"
ranking quality,facet of,fairness,"{'spans': [[258, 308]], 'source': '898aef7db35a4ddfadfbcc5aafb6ab88'}"
ranking quality,facet of,utility,"{'spans': [[258, 308]], 'source': '898aef7db35a4ddfadfbcc5aafb6ab88'}"
quantifying,facet of,quantifying,"{'spans': [[258, 308]], 'source': '898aef7db35a4ddfadfbcc5aafb6ab88'}"
2,followed by,4,"{'spans': [[301, 351]], 'source': '898aef7db35a4ddfadfbcc5aafb6ab88'}"
4,followed by,8,"{'spans': [[301, 351]], 'source': '898aef7db35a4ddfadfbcc5aafb6ab88'}"
Integrating Fair Rankings into a RAG System in a Production Environment,facet of,RAG System,"{'spans': [[301, 351], [0, 50]], 'source': '898aef7db35a4ddfadfbcc5aafb6ab88'}"
Integrating Fair Rankings,facet of,RAG System,"{'spans': [[0, 50]], 'source': '36a06cf0bc9945208254f669da1b6c49'}"
Integrating Fair Rankings into a RAG System in a Production Environment,part of,Integrating Fair Rankings into a RAG System in a Production Environment,"{'spans': [[0, 50]], 'source': '36a06cf0bc9945208254f669da1b6c49'}"
